APMC,Commodity,year,Average Difference Raw,Average Difference Deseasonalised,district_name,state_name
khamgaon,bajri,2016,106.18181818181824,-71.5454545454545,buldhana,maharashtra
nandura,maize,2014,-283.5,-566.5,buldhana,maharashtra
nandura,maize,2015,-229.41666666666674,-238.83333333333326,buldhana,maharashtra
nandura,maize,2016,-119.09090909090901,-246.090909090909,buldhana,maharashtra
kada (ashti),maize,2015,-169.66666666666674,-169.66666666666674,beed,maharashtra
kada,bajri,2014,3.25,-351.5,beed,maharashtra
kada,bajri,2016,39.818181818181756,-86.90909090909099,beed,maharashtra
lasalgaon-vinchur,rice(paddy-hus),2016,-62.0,-62.0,nasik,maharashtra
kannad,bajri,2014,-1.25,-430.75,aurangabad,maharashtra
kannad,bajri,2015,-77.125,-47.875,aurangabad,maharashtra
kannad,bajri,2016,163.36363636363626,-31.36363636363626,aurangabad,maharashtra
lonar,sorgum(jawar),2014,-414.5,-764.5,buldhana,maharashtra
lonar,sorgum(jawar),2015,-426.29999999999995,-439.0,buldhana,maharashtra
lonar,sorgum(jawar),2016,-235.9000000000001,-381.20000000000005,buldhana,maharashtra
balapur,wheat(husked),2015,-163.08333333333326,-264.5,akola,maharashtra
amalner,pigeon pea (tur),2014,-1000.0,-1460.0,jalgaon,maharashtra
kalvan,wheat(husked),2014,-3.6666666666667425,-410.0,nasik,maharashtra
kalvan,wheat(husked),2015,-36.55555555555566,-41.55555555555566,nasik,maharashtra
devani,safflower,2015,-620.0,-620.0,latur,maharashtra
shirur,bajri,2014,115.75,-369.25,pune,maharashtra
shirur,bajri,2016,134.29999999999995,-117.5,pune,maharashtra
pandharkawada,pigeon pea (tur),2014,15.5,-698.5,yewatmal,maharashtra
mumbai,coconut,2014,-627.75,-892.0,mumbai,maharashtra
mumbai,coconut,2015,-694.75,-764.4166666666666,mumbai,maharashtra
mumbai,coconut,2016,-1139.4545454545455,-1176.1818181818182,mumbai,maharashtra
khalapur(shil-phata),paddy-unhusked,2016,-110.0,-110.0,raigad,maharashtra
daryapur,pigeon pea (tur),2014,201.75,-687.0,amaravathi,maharashtra
parbhani,sorgum(jawar),2014,150.0,-743.0,parbhani,maharashtra
parbhani,sorgum(jawar),2015,-30.555555555555657,-112.66666666666674,parbhani,maharashtra
parbhani,sorgum(jawar),2016,-23.40000000000009,-111.5,parbhani,maharashtra
indapur-bhigwan,pigeon pea (tur),2014,-1512.0,-2432.0,pune,maharashtra
nandura,sorgum(jawar),2014,-424.5,-805.75,buldhana,maharashtra
nandura,sorgum(jawar),2015,-458.66666666666674,-475.91666666666674,buldhana,maharashtra
nandura,sorgum(jawar),2016,-363.81818181818176,-566.5454545454545,buldhana,maharashtra
solapur,wheat(husked),2014,184.0,-351.5,solapur,maharashtra
kada (ashti),sorgum(jawar),2014,617.0,-576.0,beed,maharashtra
kada (ashti),sorgum(jawar),2015,-36.799999999999955,-107.20000000000005,beed,maharashtra
kada (ashti),sorgum(jawar),2016,-10.333333333333258,-181.22222222222217,beed,maharashtra
sillod,safflower,2015,-1350.0,-1850.0,aurangabad,maharashtra
jalgaon jamod,wheat(husked),2014,-144.0,-511.25,buldhana,maharashtra
jalgaon jamod,wheat(husked),2015,-246.72727272727275,-247.27272727272725,buldhana,maharashtra
telhara,wheat(husked),2014,-66.0,-497.0,akola,maharashtra
telhara,wheat(husked),2015,-152.4000000000001,-154.0,akola,maharashtra
varora,wheat(husked),2015,-212.0,-212.0,chandrapur,maharashtra
jalna,safflower,2014,-812.5,-1766.5,jalna,maharashtra
jalna,safflower,2015,-990.6999999999998,-1115.9,jalna,maharashtra
hadgaon,wheat(husked),2014,206.5,-396.0,nanded,maharashtra
hadgaon,wheat(husked),2015,-79.25,-35.0,nanded,maharashtra
tuljapur,maize,2014,-176.0,-495.33333333333337,osmanabad,maharashtra
tuljapur,maize,2015,3.4444444444443434,-8.333333333333258,osmanabad,maharashtra
tuljapur,maize,2016,49.55555555555566,-70.66666666666674,osmanabad,maharashtra
dondaicha-sindkheda,sorgum(jawar),2015,-239.0,-239.0,dhule,maharashtra
dondaicha-sindkheda,sorgum(jawar),2016,-48.545454545454504,-48.545454545454504,dhule,maharashtra
ghatanji,sorgum(jawar),2015,-690.0,-690.0,yewatmal,maharashtra
aheri,pigeon pea (tur),2014,-350.0,-1411.0,gadchiroli,maharashtra
kolhapur-laxmipuri,wheat(husked),2014,308.33333333333326,-264.33333333333326,kolhapur,maharashtra
sakri,bajri,2014,-80.5,-541.0,dhule,maharashtra
sakri,bajri,2015,-56.33333333333326,-99.16666666666674,dhule,maharashtra
sakri,bajri,2016,45.63636363636374,-87.09090909090901,dhule,maharashtra
patur,sorgum(jawar),2014,-112.5,-346.0,akola,maharashtra
patur,sorgum(jawar),2015,-280.91666666666674,-282.41666666666674,akola,maharashtra
patur,sorgum(jawar),2016,-231.090909090909,-272.0,akola,maharashtra
bhokardan,maize,2014,-203.0,-382.0,jalna,maharashtra
bhokardan,maize,2015,-139.0,-141.5,jalna,maharashtra
bhokardan,maize,2016,-3.099999999999909,-69.20000000000005,jalna,maharashtra
nanded,pigeon pea (tur),2014,-387.0,-1496.0,nanded,maharashtra
osmanabad,sunflower,2016,-899.1999999999998,-899.1999999999998,osmanabad,maharashtra
ambejogai,pigeon pea (tur),2014,-292.75,-1354.5,beed,maharashtra
pune,maize,2014,156.0,-405.33333333333337,pune,maharashtra
mangalwedha,sorgum(jawar),2014,43.75,-601.75,solapur,maharashtra
mangalwedha,sorgum(jawar),2015,-143.16666666666674,-150.75,solapur,maharashtra
mangalwedha,sorgum(jawar),2016,40.09090909090901,-216.27272727272725,solapur,maharashtra
latur,pigeon pea (tur),2014,-21.75,-1004.5,latur,maharashtra
paithan,wheat(husked),2014,35.0,-722.0,aurangabad,maharashtra
paithan,wheat(husked),2015,-102.44444444444434,-133.66666666666674,aurangabad,maharashtra
indapur-bhigwan,mustard,2015,650.5,-350.0,pune,maharashtra
shevgaon,sorgum(jawar),2014,-40.0,-623.25,ahmadnagar,maharashtra
shevgaon,sorgum(jawar),2015,-199.0,-195.25,ahmadnagar,maharashtra
shevgaon,sorgum(jawar),2016,78.5454545454545,-204.81818181818176,ahmadnagar,maharashtra
akot,sorgum(jawar),2015,-462.75,-606.5,akola,maharashtra
akot,sorgum(jawar),2016,-307.27272727272725,-367.81818181818176,akola,maharashtra
lasalgaon-vinchur,sorgum(jawar),2015,-288.25,-288.25,nasik,maharashtra
lasalgaon-vinchur,sorgum(jawar),2016,-210.5999999999999,-210.5999999999999,nasik,maharashtra
pombhurni,cotton,2015,-319.0,-1373.0,chandrapur,maharashtra
pombhurni,cotton,2016,-20.0,-308.5999999999999,chandrapur,maharashtra
akluj,sorgum(jawar),2014,198.0,-299.0,solapur,maharashtra
akluj,sorgum(jawar),2016,101.5,-99.0,solapur,maharashtra
sangrampur,wheat(husked),2014,-127.66666666666674,-127.66666666666674,buldhana,maharashtra
sangrampur,wheat(husked),2015,-342.5,-342.5,buldhana,maharashtra
akole,paddy-unhusked,2014,71.25,-381.0,ahmadnagar,maharashtra
akole,paddy-unhusked,2016,27.272727272727252,-76.5454545454545,ahmadnagar,maharashtra
kalamb (os),niger-seed,2016,-1625.0,-1625.0,osmanabad,maharashtra
basmat,sunflower,2015,-650.0,-650.0,hingoli,maharashtra
satana,maize,2014,-243.0,-491.25,nasik,maharashtra
satana,maize,2015,-53.888888888888914,-72.66666666666674,nasik,maharashtra
satana,maize,2016,11.63636363636374,-29.63636363636374,nasik,maharashtra
sironcha,maize,2016,-4.5,-4.5,gadchiroli,maharashtra
parola,bajri,2015,-56.5,-56.5,jalgaon,maharashtra
parola,bajri,2016,-13.200000000000045,-13.200000000000045,jalgaon,maharashtra
dharni,cotton,2015,50.0,-503.0,amaravathi,maharashtra
dharni,cotton,2016,281.75,-111.75,amaravathi,maharashtra
kalamb (os),maize,2014,-191.0,-546.5,osmanabad,maharashtra
kalamb (os),maize,2015,-34.58333333333326,-48.41666666666674,osmanabad,maharashtra
kurdwadi,pigeon pea (tur),2014,-1368.75,-2115.5,solapur,maharashtra
dondaicha,cotton,2014,287.5,-719.0,dhule,maharashtra
dhule,maize,2014,-357.5,-482.75,dhule,maharashtra
dhule,maize,2015,-159.41666666666674,-168.75,dhule,maharashtra
dhule,maize,2016,1.2999999999999545,-71.90000000000009,dhule,maharashtra
nira-saswad,sorgum(jawar),2015,21.666666666666742,-161.0,pune,maharashtra
nira-saswad,sorgum(jawar),2016,-25.454545454545496,-78.09090909090901,pune,maharashtra
malegaon,pigeon pea (tur),2014,-434.0,-2141.0,nasik,maharashtra
lasalgaon-vinchur,maize,2015,-98.55555555555566,-281.1111111111111,nasik,maharashtra
lasalgaon-vinchur,maize,2016,56.454545454545496,-74.5454545454545,nasik,maharashtra
pathari,bajri,2014,225.0,-573.0,parbhani,maharashtra
pathari,bajri,2015,22.71428571428578,-136.8571428571429,parbhani,maharashtra
pathari,bajri,2016,-135.22222222222217,-236.1111111111111,parbhani,maharashtra
mangalwedha,pigeon pea (tur),2014,-903.5,-1922.75,solapur,maharashtra
savner,sorgum(jawar),2014,-335.66666666666674,-838.3333333333334,nagpur,maharashtra
savner,sorgum(jawar),2015,-491.25,-514.125,nagpur,maharashtra
savner,sorgum(jawar),2016,-486.4000000000001,-610.5999999999999,nagpur,maharashtra
lohara,wheat(husked),2015,-275.0,-275.0,osmanabad,maharashtra
pathari,wheat(husked),2014,-13.0,-537.25,parbhani,maharashtra
pathari,wheat(husked),2015,-80.33333333333326,-126.08333333333326,parbhani,maharashtra
umarkhed-danki,sorgum(jawar),2015,19.5,-97.33333333333326,yewatmal,maharashtra
umarkhed-danki,sorgum(jawar),2016,-250.0,-250.0,yewatmal,maharashtra
vadvani,sorgum(jawar),2016,-25.0,-25.0,beed,maharashtra
digras,sorgum(jawar),2014,-157.5,-686.0,yewatmal,maharashtra
digras,sorgum(jawar),2015,-79.22222222222217,-172.0,yewatmal,maharashtra
digras,sorgum(jawar),2016,-80.36363636363626,-283.63636363636374,yewatmal,maharashtra
nanded,sorgum(jawar),2014,-176.66666666666674,-734.3333333333334,nanded,maharashtra
nanded,sorgum(jawar),2015,-372.70000000000005,-375.4000000000001,nanded,maharashtra
nanded,sorgum(jawar),2016,-275.0,-371.090909090909,nanded,maharashtra
lohara,bajri,2016,-58.5,-58.5,osmanabad,maharashtra
yeotmal,wheat(husked),2014,-17.25,-466.25,yewatmal,maharashtra
yeotmal,wheat(husked),2015,-75.09999999999991,-76.40000000000009,yewatmal,maharashtra
khamgaon,pigeon pea (tur),2014,-275.0,-1623.25,buldhana,maharashtra
dhule,sorgum(jawar),2014,-28.0,-633.0,dhule,maharashtra
dhule,sorgum(jawar),2015,-224.0,-271.58333333333326,dhule,maharashtra
dhule,sorgum(jawar),2016,-197.36363636363626,-419.81818181818176,dhule,maharashtra
kalamb (os),sorgum(jawar),2014,-172.25,-581.5,osmanabad,maharashtra
kalamb (os),sorgum(jawar),2016,-94.4545454545455,-299.909090909091,osmanabad,maharashtra
kopargaon,wheat(husked),2014,-39.75,-436.25,ahmadnagar,maharashtra
kopargaon,wheat(husked),2015,-107.33333333333326,-107.66666666666674,ahmadnagar,maharashtra
taloda,bajri,2014,7.5,-337.5,nandurbar,maharashtra
indapur (nimgaon ketki),sorgum(jawar),2015,-301.4000000000001,-301.4000000000001,pune,maharashtra
indapur (nimgaon ketki),sorgum(jawar),2016,-55.111111111111086,-55.111111111111086,pune,maharashtra
dharni,wheat(husked),2015,-225.0,-225.0,amaravathi,maharashtra
lonar,sunflower,2016,-410.0,-410.0,buldhana,maharashtra
akola,sunflower,2015,-661.0,-1228.25,akola,maharashtra
akola,sunflower,2016,-7.800000000000182,-152.4000000000001,akola,maharashtra
mehkar,wheat(husked),2014,-110.5,-601.5,buldhana,maharashtra
mehkar,wheat(husked),2015,-175.5,-190.375,buldhana,maharashtra
varud,cotton,2014,156.5,-1516.0,amaravathi,maharashtra
pathardi,bajri,2014,13.75,-91.0,ahmadnagar,maharashtra
pathardi,bajri,2015,-15.900000000000091,-16.59999999999991,ahmadnagar,maharashtra
pathardi,bajri,2016,-29.555555555555657,-79.44444444444434,ahmadnagar,maharashtra
varud,maize,2015,-15.0,-233.33333333333326,amaravathi,maharashtra
varud,maize,2016,-810.0,-754.0,amaravathi,maharashtra
hingoli,sorgum(jawar),2014,-373.5,-777.0,hingoli,maharashtra
hingoli,sorgum(jawar),2015,-109.55555555555566,-148.1111111111111,hingoli,maharashtra
dhadgaon,sorgum(jawar),2015,-440.0,-440.0,nandurbar,maharashtra
dhadgaon,sorgum(jawar),2016,-364.0999999999999,-364.0999999999999,nandurbar,maharashtra
dondaicha-sindkheda,maize,2015,-53.0,-53.0,dhule,maharashtra
dondaicha-sindkheda,maize,2016,-75.90909090909099,-75.90909090909099,dhule,maharashtra
varud-rajura bazar,mustard,2015,-354.5,-354.5,amaravathi,maharashtra
mahad,paddy-unhusked,2015,-8.333333333333258,-8.333333333333258,raigad,maharashtra
mahad,paddy-unhusked,2016,-54.40000000000009,-54.40000000000009,raigad,maharashtra
malkapur,bajri,2014,-40.0,-250.75,buldhana,maharashtra
malkapur,bajri,2015,-118.18181818181824,-117.0,buldhana,maharashtra
malkapur,bajri,2016,107.57142857142867,-9.571428571428669,buldhana,maharashtra
akkolkot,sorgum(jawar),2014,-487.0,-487.0,solapur,maharashtra
khamgaon,cotton,2014,231.0,-760.5,buldhana,maharashtra
varud,sorgum(jawar),2014,-20.0,-20.0,amaravathi,maharashtra
varud,sorgum(jawar),2015,-44.0,-44.0,amaravathi,maharashtra
varud,sorgum(jawar),2016,-548.25,-548.25,amaravathi,maharashtra
jintur,bajri,2014,151.0,-550.0,parbhani,maharashtra
sillod,wheat(husked),2014,-48.0,-698.0,aurangabad,maharashtra
sillod,wheat(husked),2015,-143.33333333333326,-285.83333333333326,aurangabad,maharashtra
devala,bajri,2014,25.25,-375.5,nasik,maharashtra
gadchiroli,paddy-unhusked,2014,501.25,-127.0,gadchiroli,maharashtra
partur,cotton,2014,-19.0,-1016.0,jalna,maharashtra
ulhasnagar,coconut,2015,-1242.0,-1242.0,thane,maharashtra
ulhasnagar,coconut,2016,-1590.1666666666667,-1590.1666666666667,thane,maharashtra
ahmedpur,wheat(husked),2014,-179.0,-742.0,latur,maharashtra
ahmedpur,wheat(husked),2015,-285.2857142857142,-376.2857142857142,latur,maharashtra
ahmednagar,bajri,2014,203.5,-340.0,ahmadnagar,maharashtra
balapur,bajri,2015,-25.0,-25.0,akola,maharashtra
newasa,sorgum(jawar),2014,-5.0,-392.5,ahmadnagar,maharashtra
newasa,sorgum(jawar),2015,2.75,-0.375,ahmadnagar,maharashtra
newasa,sorgum(jawar),2016,-8.200000000000045,-10.5,ahmadnagar,maharashtra
kalmeshwar,pigeon pea (tur),2014,11.0,-1336.0,nagpur,maharashtra
mangrulpeer,sorgum(jawar),2014,-221.33333333333326,-792.6666666666666,wasim,maharashtra
mangrulpeer,sorgum(jawar),2015,-460.83333333333326,-468.91666666666674,wasim,maharashtra
mangrulpeer,sorgum(jawar),2016,-360.5454545454545,-580.8181818181818,wasim,maharashtra
murum,sorgum(jawar),2014,470.0,-249.33333333333326,osmanabad,maharashtra
umared,cotton,2014,87.0,-1620.0,nagpur,maharashtra
umared,cotton,2015,14.0,-106.44444444444434,nagpur,maharashtra
umared,cotton,2016,430.0,-198.66666666666652,nagpur,maharashtra
kinwat,cotton,2014,0.3333333333334849,-1431.3333333333335,nanded,maharashtra
kinwat,cotton,2015,-99.875,-138.0,nanded,maharashtra
kinwat,cotton,2016,281.33333333333303,-298.1666666666665,nanded,maharashtra
indapur (nimgaon ketki),rice(paddy-hus),2016,-334.0,-334.0,pune,maharashtra
chandur bajar,wheat(husked),2014,-33.33333333333326,-582.0,amaravathi,maharashtra
chandur bajar,wheat(husked),2015,-134.0,-145.83333333333326,amaravathi,maharashtra
shevgaon-bodhegaon,wheat(husked),2014,24.5,-467.5,ahmadnagar,maharashtra
bhokar,sunflower,2014,-50.0,-50.0,nanded,maharashtra
bhokar,sunflower,2015,-722.25,-722.25,nanded,maharashtra
bhokar,sunflower,2016,-505.0,-505.0,nanded,maharashtra
pathardi,cotton,2014,26.0,-912.0,ahmadnagar,maharashtra
kurdwadi-modnimb,maize,2015,-11.833333333333258,-97.25,solapur,maharashtra
sangrampur-varvatbakal,wheat(husked),2015,-285.0,-285.0,buldhana,maharashtra
shahada,sorgum(jawar),2014,6.5,-559.25,nandurbar,maharashtra
shahada,sorgum(jawar),2015,-178.4545454545455,-176.36363636363626,nandurbar,maharashtra
shahada,sorgum(jawar),2016,-108.4545454545455,-351.0,nandurbar,maharashtra
kalvan,sunflower,2014,-750.0,-1917.0,nasik,maharashtra
kalvan,sunflower,2015,-455.75,-423.0,nasik,maharashtra
kalvan,sunflower,2016,-350.0,-1484.0,nasik,maharashtra
loha,wheat(husked),2014,-26.0,-330.0,nanded,maharashtra
loha,wheat(husked),2015,-126.09999999999991,-123.5,nanded,maharashtra
tuljapur,pigeon pea (tur),2014,32.0,-1587.0,osmanabad,maharashtra
kannad,maize,2014,-426.25,-619.75,aurangabad,maharashtra
kannad,maize,2015,-244.71428571428578,-272.7142857142858,aurangabad,maharashtra
kannad,maize,2016,-119.85714285714289,-220.8571428571429,aurangabad,maharashtra
raver,sorgum(jawar),2014,-357.0,-753.75,jalgaon,maharashtra
raver,sorgum(jawar),2015,-394.16666666666674,-407.83333333333326,jalgaon,maharashtra
raver,sorgum(jawar),2016,-336.4545454545455,-543.8181818181818,jalgaon,maharashtra
latur,sorgum(jawar),2014,-131.33333333333326,-384.33333333333326,latur,maharashtra
latur,sorgum(jawar),2016,-43.818181818181756,-224.27272727272725,latur,maharashtra
achalpur,pigeon pea (tur),2014,320.75,-1127.0,amaravathi,maharashtra
barshi,bajri,2014,227.33333333333326,-343.0,solapur,maharashtra
lonar,maize,2014,-242.5,-443.0,buldhana,maharashtra
lonar,maize,2015,-227.57142857142867,-216.8571428571429,buldhana,maharashtra
lonar,maize,2016,-249.75,-380.0,buldhana,maharashtra
kinwat,wheat(husked),2015,-255.66666666666674,-255.66666666666674,nanded,maharashtra
vaijapur,wheat(husked),2014,-88.25,-343.75,aurangabad,maharashtra
vaijapur,wheat(husked),2015,-16.625,-31.125,aurangabad,maharashtra
akola,safflower,2015,-1118.4,-1118.4,akola,maharashtra
buldhana-dhad,sorgum(jawar),2016,-450.0,-450.0,buldhana,maharashtra
ahmedpur,sesamum,2014,4249.0,-133.5,latur,maharashtra
ahmedpur,sesamum,2016,-349.0,-550.8571428571431,latur,maharashtra
malkapur,pigeon pea (tur),2014,-315.75,-1700.0,buldhana,maharashtra
shegaon,mustard,2014,-448.0,-802.5,buldhana,maharashtra
shegaon,mustard,2015,-220.72727272727252,-245.27272727272748,buldhana,maharashtra
zarijamini,wheat(husked),2015,-25.0,-25.0,yewatmal,maharashtra
shahada,pigeon pea (tur),2014,-473.5,-1636.0,nandurbar,maharashtra
pulgaon,cotton,2014,156.0,-1172.0,wardha,maharashtra
pulgaon,cotton,2016,510.42857142857156,-261.57142857142844,wardha,maharashtra
achalpur,maize,2014,8.75,-320.5,amaravathi,maharashtra
achalpur,maize,2016,54.09999999999991,-21.5,amaravathi,maharashtra
korpana,cotton,2014,292.5,-410.5,chandrapur,maharashtra
korpana,cotton,2016,867.0,-918.0,chandrapur,maharashtra
amalner,sorgum(jawar),2014,-235.66666666666674,-787.0,jalgaon,maharashtra
amalner,sorgum(jawar),2015,-312.0,-337.0,jalgaon,maharashtra
amalner,sorgum(jawar),2016,-74.27272727272725,-245.18181818181824,jalgaon,maharashtra
telhara,sunflower,2015,-1020.6666666666665,-1020.6666666666665,akola,maharashtra
sindi,cotton,2014,196.0,-948.0,wardha,maharashtra
sindi,cotton,2016,441.16666666666697,-237.66666666666652,wardha,maharashtra
chandur rly.,pigeon pea (tur),2014,400.0,-1450.0,amaravathi,maharashtra
karjat (raigad),paddy-unhusked,2014,-50.0,-460.0,raigad,maharashtra
karjat (raigad),paddy-unhusked,2015,-70.90909090909099,-88.72727272727275,raigad,maharashtra
karjat (raigad),paddy-unhusked,2016,-120.0,-355.125,raigad,maharashtra
sangrampur,maize,2014,-457.5,-457.5,buldhana,maharashtra
sangrampur,maize,2015,-376.20000000000005,-376.20000000000005,buldhana,maharashtra
pandharpur,wheat(husked),2014,102.0,-138.25,solapur,maharashtra
sindi (selu),cotton,2014,151.5,-1605.0,wardha,maharashtra
sindi (selu),cotton,2015,32.75,-121.5,wardha,maharashtra
sindi (selu),cotton,2016,300.83333333333303,-278.5,wardha,maharashtra
sillod,mustard,2015,-550.0,-550.0,aurangabad,maharashtra
bhokardan,wheat(husked),2014,14.5,-504.25,jalna,maharashtra
bhokardan,wheat(husked),2015,-76.58333333333326,-97.5,jalna,maharashtra
phaltan,bajri,2014,76.0,-352.75,satara,maharashtra
phaltan,bajri,2015,-10.909090909090992,-4.818181818181756,satara,maharashtra
phaltan,bajri,2016,7.5,-104.0,satara,maharashtra
yawal,bajri,2015,-225.0,-225.0,jalgaon,maharashtra
yawal,bajri,2016,-181.75,-181.75,jalgaon,maharashtra
karanja,sunflower,2014,-1051.0,-1051.0,wasim,maharashtra
karanja,sunflower,2015,-725.6666666666665,-725.6666666666665,wasim,maharashtra
tuljapur,paddy-unhusked,2014,-493.0,-493.0,osmanabad,maharashtra
tuljapur,paddy-unhusked,2015,-445.0,-445.0,osmanabad,maharashtra
murud,paddy-unhusked,2015,90.0,-676.0,raigad,maharashtra
murud,paddy-unhusked,2016,11.454545454545496,-121.18181818181824,raigad,maharashtra
shahapur,paddy-unhusked,2014,63.25,-118.25,thane,maharashtra
shahapur,paddy-unhusked,2016,3.6666666666667425,-17.333333333333258,thane,maharashtra
dharangaon,sorgum(jawar),2016,-281.375,-281.375,jalgaon,maharashtra
bhokar,pigeon pea (tur),2014,-125.33333333333303,-1330.3333333333335,nanded,maharashtra
digras,rice(paddy-hus),2016,-285.0,-285.0,yewatmal,maharashtra
ghansawangi,sorgum(jawar),2014,-450.0,-760.0,jalna,maharashtra
ghansawangi,sorgum(jawar),2015,-53.40000000000009,-141.20000000000005,jalna,maharashtra
ghansawangi,sorgum(jawar),2016,-15.0,-117.77777777777783,jalna,maharashtra
ambejogai,safflower,2014,-595.0,-595.0,beed,maharashtra
ambejogai,safflower,2015,-953.25,-953.25,beed,maharashtra
pen,paddy-unhusked,2014,0.0,-567.0,raigad,maharashtra
pen,paddy-unhusked,2015,-38.700000000000045,-106.0,raigad,maharashtra
pen,paddy-unhusked,2016,-49.454545454545496,-218.36363636363626,raigad,maharashtra
lasur station,pigeon pea (tur),2014,-150.0,-1557.0,aurangabad,maharashtra
lasalgaon-vinchur,bajri,2015,76.11111111111109,-59.111111111111086,nasik,maharashtra
achalpur,wheat(husked),2014,45.25,-427.75,amaravathi,maharashtra
achalpur,wheat(husked),2015,-42.09999999999991,-35.700000000000045,amaravathi,maharashtra
umarga,wheat(husked),2014,-71.5,-179.75,osmanabad,maharashtra
umarga,wheat(husked),2015,20.083333333333258,-2.5833333333332575,osmanabad,maharashtra
nandgaon,sorgum(jawar),2014,-50.0,-50.0,nasik,maharashtra
nandgaon,sorgum(jawar),2015,-242.5,-242.5,nasik,maharashtra
nandgaon,sorgum(jawar),2016,-38.0,-38.0,nasik,maharashtra
latur-murud,sorgum(jawar),2015,-145.8571428571429,-367.0,latur,maharashtra
latur-murud,sorgum(jawar),2016,-141.72727272727275,-295.5454545454545,latur,maharashtra
lakhani,paddy-unhusked,2014,921.0,-173.5,bhandara,maharashtra
sillod-bharadi,sunflower,2015,-500.0,-500.0,aurangabad,maharashtra
sillod-bharadi,sunflower,2016,-450.0,-450.0,aurangabad,maharashtra
jalgaon jamod-aasalgaon,maize,2014,-329.5,-577.25,buldhana,maharashtra
jalgaon jamod-aasalgaon,maize,2015,-330.5,-332.5,buldhana,maharashtra
jalgaon jamod-aasalgaon,maize,2016,-278.375,-352.875,buldhana,maharashtra
risod,wheat(husked),2015,-100.0,-100.0,wasim,maharashtra
parli-vaijnath,pigeon pea (tur),2014,-396.6666666666665,-1700.3333333333335,beed,maharashtra
kille dharur,maize,2014,24.0,-510.0,beed,maharashtra
kille dharur,maize,2015,129.5,-46.66666666666674,beed,maharashtra
kille dharur,maize,2016,77.81818181818176,-63.36363636363626,beed,maharashtra
chalisgaon,sorgum(jawar),2014,-388.66666666666674,-847.3333333333334,jalgaon,maharashtra
chalisgaon,sorgum(jawar),2015,-403.0,-444.0,jalgaon,maharashtra
chalisgaon,sorgum(jawar),2016,-333.63636363636374,-458.27272727272725,jalgaon,maharashtra
jalgaon jamod-aasalgaon,wheat(husked),2014,-123.5,-632.25,buldhana,maharashtra
jalgaon jamod-aasalgaon,wheat(husked),2015,-244.75,-262.33333333333326,buldhana,maharashtra
ahmedpur,paddy-unhusked,2014,-509.0,-509.0,latur,maharashtra
ahmedpur,paddy-unhusked,2015,-445.4,-445.4,latur,maharashtra
bhokar,cotton,2014,154.33333333333348,-306.0,nanded,maharashtra
bhokar,cotton,2016,273.83333333333303,-3.666666666666515,nanded,maharashtra
umarkhed,pigeon pea (tur),2014,-550.0,-550.0,yewatmal,maharashtra
nilanga,safflower,2015,-779.0,-779.0,latur,maharashtra
devri,paddy-unhusked,2016,-76.66666666666674,-76.66666666666674,gondiya,maharashtra
nandgaon khandeshwar,wheat(husked),2015,-422.5,-642.0,amaravathi,maharashtra
akola,maize,2015,-41.16666666666674,-141.0,akola,maharashtra
akola,maize,2016,94.20000000000005,-4.400000000000091,akola,maharashtra
sailu,bajri,2014,328.66666666666674,-21.0,parbhani,maharashtra
sailu,bajri,2016,107.33333333333326,-180.33333333333326,parbhani,maharashtra
aurangabad,bajri,2015,-25.0,-25.0,aurangabad,maharashtra
dound,bajri,2014,90.0,-438.0,pune,maharashtra
chopda,bajri,2014,-55.75,-483.5,jalgaon,maharashtra
chopda,bajri,2015,-46.90909090909099,-36.818181818181756,jalgaon,maharashtra
chopda,bajri,2016,193.5454545454545,-46.36363636363626,jalgaon,maharashtra
ausa,bajri,2014,410.0,-232.5,latur,maharashtra
umared,rice(paddy-hus),2014,600.0,-25.0,nagpur,maharashtra
barshi-vairag,safflower,2014,-719.0,-1885.0,solapur,maharashtra
barshi-vairag,safflower,2015,-300.0,-635.0,solapur,maharashtra
dhadgaon,maize,2015,-175.0,-175.0,nandurbar,maharashtra
dhadgaon,maize,2016,-54.59999999999991,-54.59999999999991,nandurbar,maharashtra
paithan,maize,2016,56.59999999999991,-12.599999999999909,aurangabad,maharashtra
dhule,sesamum,2016,-127.75,-257.5,dhule,maharashtra
loha,sunflower,2014,-1050.0,-1050.0,nanded,maharashtra
loha,sunflower,2015,-900.0,-900.0,nanded,maharashtra
akola,sorgum(jawar),2014,-318.66666666666674,-762.6666666666666,akola,maharashtra
akola,sorgum(jawar),2015,-356.20000000000005,-373.5,akola,maharashtra
akola,sorgum(jawar),2016,-244.5454545454545,-346.4545454545455,akola,maharashtra
sindi (selu),wheat(husked),2015,-225.0,-225.0,wardha,maharashtra
pandharpur,maize,2014,-126.0,-555.0,solapur,maharashtra
pandharpur,maize,2015,86.875,-4.0,solapur,maharashtra
pandharpur,maize,2016,164.44444444444434,-14.888888888888914,solapur,maharashtra
savali,paddy-unhusked,2014,751.5,-203.5,chandrapur,maharashtra
savner,maize,2014,-316.5,-653.0,nagpur,maharashtra
savner,maize,2015,-222.1428571428571,-246.8571428571429,nagpur,maharashtra
savner,maize,2016,-145.0,-312.83333333333326,nagpur,maharashtra
rahuri-vambori,wheat(husked),2014,55.0,-416.0,ahmadnagar,maharashtra
rahuri-vambori,wheat(husked),2015,-18.799999999999955,-18.799999999999955,ahmadnagar,maharashtra
